parcel_id,project_id,assessed_amount,approved_amount,paid_amount,payment_date,payment_status,data_source
PCL-2860614F,PRJ-021,4284799.27,3773456.15,0.0,,pending,synthetic
PCL-A3E0A657,PRJ-021,2059107.33,1931216.37,1931216.37,2024-04-09,paid,synthetic
PCL-39BAD1C7,PRJ-021,4429971.81,4260951.89,2130475.94,2024-06-07,partial,synthetic
PCL-B20AD6AE,PRJ-021,3679483.33,3371920.36,0.0,,pending,synthetic
PCL-CEE67DC0,PRJ-021,593947.76,514483.96,0.0,,pending,synthetic
PCL-74C8E1B3,PRJ-021,1347658.98,1195019.74,1195019.74,2024-04-02,paid,synthetic
PCL-74F66A96,PRJ-021,2356266.49,2086122.78,2086122.78,2024-10-11,paid,synthetic
PCL-31A393B6,PRJ-021,3548934.74,3336798.29,3336798.29,2024-03-21,paid,synthetic
PCL-E31DF820,PRJ-021,3738587.03,3677369.29,1838684.64,2024-03-30,partial,synthetic
PCL-A9B256A2,PRJ-021,2207806.02,1896657.77,0.0,,pending,synthetic
PCL-5C787127,PRJ-021,3156492.33,3124208.62,3124208.62,2024-10-02,paid,synthetic
PCL-C8C47E7E,PRJ-021,1782691.89,1616407.69,808203.84,2025-02-22,partial,synthetic
PCL-8E417A0E,PRJ-021,2797978.76,2544562.09,2544562.09,2024-08-17,paid,synthetic
PCL-C12D8E6F,PRJ-021,1797752.49,1688027.05,1688027.05,2024-06-13,paid,synthetic
PCL-81DAE245,PRJ-021,2367496.76,2236025.77,2236025.77,2024-04-24,paid,synthetic
PCL-DE0261D0,PRJ-021,3770781.91,3708916.13,3708916.13,2024-04-22,paid,synthetic
PCL-EFA59B20,PRJ-021,1884640.13,1712535.41,1712535.41,2024-03-24,paid,synthetic
PCL-F24A3094,PRJ-021,1655127.25,1421550.52,1421550.52,2024-08-03,paid,synthetic
PCL-CDF7B8E7,PRJ-021,1494275.47,1291803.94,1291803.94,2025-02-28,paid,synthetic
PCL-C45001B2,PRJ-021,4870944.28,4542474.99,4542474.99,2025-04-23,paid,synthetic
PCL-CB573EF6,PRJ-021,1218153.25,1103147.44,1103147.44,2024-03-01,paid,synthetic
PCL-94A43246,PRJ-023,1184546.44,1184120.21,592060.1,2024-04-03,partial,synthetic
PCL-6C5070CE,PRJ-023,3253051.78,2896719.07,0.0,,pending,synthetic
PCL-F8184D1A,PRJ-023,1750456.31,1594591.16,0.0,,pending,synthetic
PCL-1D03CD95,PRJ-023,2211238.54,1910504.46,0.0,,pending,synthetic
PCL-5D796F2E,PRJ-023,524498.03,513647.13,513647.13,2024-07-21,paid,synthetic
PCL-51561336,PRJ-023,1603273.32,1420149.62,1420149.62,2024-07-18,paid,synthetic
PCL-D1AEF3B4,PRJ-023,2463736.66,2127853.61,2127853.61,2024-04-14,paid,synthetic
PCL-6058ADBF,PRJ-023,2226127.35,1945071.33,1945071.33,2024-12-10,paid,synthetic
PCL-9D30CBFD,PRJ-023,1331870.41,1317569.24,1317569.24,2024-07-23,paid,synthetic
PCL-D52B6F40,PRJ-023,4587266.13,4382195.1,4382195.1,2025-02-03,paid,synthetic
PCL-396D5B3D,PRJ-023,3631903.7,3494287.01,3494287.01,2024-07-23,paid,synthetic
PCL-D2BE4CB7,PRJ-023,1000492.38,941029.45,0.0,,pending,synthetic
PCL-5805F43D,PRJ-023,4469686.92,4247355.64,0.0,,pending,synthetic
PCL-CD5D1D51,PRJ-023,2640369.87,2516873.31,0.0,,pending,synthetic
PCL-E1C9086E,PRJ-023,4320643.35,4246955.2,4246955.2,2024-09-23,paid,synthetic
PCL-F2D6B12F,PRJ-023,1302312.77,1262378.09,1262378.09,2024-03-17,paid,synthetic
PCL-041BD62F,PRJ-023,3307522.12,2813724.97,2813724.97,2025-01-17,paid,synthetic
PCL-4257D4F6,PRJ-023,2276368.9,2081794.57,2081794.57,2024-04-07,paid,synthetic
PCL-C648D0D5,PRJ-023,4881863.54,4683267.22,4683267.22,2024-12-29,paid,synthetic
PCL-D4F8D8C8,PRJ-023,2298311.02,2140939.75,1070469.88,2024-06-26,partial,synthetic
PCL-0706A772,PRJ-023,2522619.66,2451361.68,2451361.68,2025-04-25,paid,synthetic
PCL-86D0DEB5,PRJ-023,4215280.29,3642026.78,0.0,,pending,synthetic
PCL-1D91F846,PRJ-023,1249873.15,1210374.08,1210374.08,2025-01-24,paid,synthetic
PCL-B03AFE0B,PRJ-023,696429.32,627134.83,627134.83,2024-04-06,paid,synthetic
PCL-350C325C,PRJ-023,1256097.39,1238168.38,619084.19,2025-03-30,partial,synthetic
PCL-4609ADDD,PRJ-023,4111465.45,3999853.6,0.0,,pending,synthetic
PCL-7E91AA05,PRJ-023,1272489.99,1250124.64,0.0,,pending,synthetic
PCL-F55595C9,PRJ-023,4863619.77,4444384.96,0.0,,pending,synthetic
PCL-AE6E8E6E,PRJ-023,999715.63,948631.9,474315.95,2024-12-23,partial,synthetic
PCL-F94A9341,PRJ-023,3608914.39,3125596.25,3125596.25,2025-02-14,paid,synthetic
PCL-191E6986,PRJ-023,1600986.66,1536275.23,1536275.23,2025-03-30,paid,synthetic
PCL-55E136B4,PRJ-023,1338791.42,1212365.81,1212365.81,2025-04-10,paid,synthetic
PCL-230A72D3,PRJ-023,1982033.87,1787948.25,893974.12,2025-02-21,partial,synthetic
PCL-7BF14C81,PRJ-023,4879992.59,4669776.18,4669776.18,2024-12-18,paid,synthetic
PCL-981B221C,PRJ-023,3337707.95,3296486.95,3296486.95,2025-05-12,paid,synthetic
PCL-9B941E28,PRJ-023,1696624.31,1578607.93,1578607.93,2024-12-10,paid,synthetic
PCL-8CF56B8C,PRJ-023,1919754.63,1919243.6,0.0,,pending,synthetic
PCL-9A4A3EBD,PRJ-023,3482381.62,3048345.36,0.0,,pending,synthetic
PCL-0A5F8E8F,PRJ-023,3454611.6,3333764.93,3333764.93,2024-10-09,paid,synthetic
PCL-F7B8DADB,PRJ-023,3082363.88,2998218.37,1499109.18,2024-06-16,partial,synthetic
PCL-25C2D4FF,PRJ-023,1961357.49,1730308.94,1730308.94,2024-11-23,paid,synthetic
PCL-9452F78C,PRJ-023,3287381.67,3091960.52,0.0,,pending,synthetic
PCL-BD824916,PRJ-023,2451820.73,2152223.26,2152223.26,2024-06-03,paid,synthetic
PCL-4A2FD836,PRJ-023,2342043.32,2013726.9,2013726.9,2025-03-23,paid,synthetic
PCL-15B98D3F,PRJ-025,4856121.51,4590417.6,4590417.6,2025-04-08,paid,synthetic
PCL-3EAB9E45,PRJ-025,826902.01,727626.32,363813.16,2025-04-01,partial,synthetic
PCL-A5E4718C,PRJ-025,1932830.22,1688732.33,844366.16,2024-03-22,partial,synthetic
PCL-96F1E230,PRJ-025,1295313.55,1114379.96,1114379.96,2024-07-08,paid,synthetic
PCL-78E22FCE,PRJ-025,1379582.0,1283936.94,0.0,,pending,synthetic
PCL-56E94BB1,PRJ-025,643570.87,620258.07,620258.07,2025-01-21,paid,synthetic
PCL-2C42721E,PRJ-025,2729774.73,2363795.18,0.0,,pending,synthetic
PCL-4773B1BB,PRJ-025,3845432.93,3408990.43,0.0,,pending,synthetic
PCL-701CB8D3,PRJ-025,3399585.05,2898565.67,2898565.67,2025-03-11,paid,synthetic
PCL-09500D3E,PRJ-025,4083897.32,3769966.87,3769966.87,2024-12-06,paid,synthetic
PCL-E27D5543,PRJ-025,2948771.66,2509199.84,0.0,,pending,synthetic
PCL-09EF2FF1,PRJ-025,2380911.29,2229603.01,2229603.01,2024-04-08,paid,synthetic
PCL-CC0EB917,PRJ-025,1711257.02,1534739.76,1534739.76,2024-07-15,paid,synthetic
PCL-EB8D45D1,PRJ-025,1532302.67,1404707.04,702353.52,2024-12-23,partial,synthetic
PCL-AB5ED668,PRJ-027,769464.43,686841.19,0.0,,pending,synthetic
PCL-4C9ECA41,PRJ-027,595375.07,587416.43,0.0,,pending,synthetic
PCL-11E22180,PRJ-027,4180244.11,3681305.77,1840652.88,2024-06-17,partial,synthetic
PCL-1A1685C8,PRJ-027,3070714.6,2640187.69,0.0,,pending,synthetic
PCL-CE189D9B,PRJ-027,3252149.37,3105942.08,0.0,,pending,synthetic
PCL-04C566E8,PRJ-027,1257714.22,1121987.48,0.0,,pending,synthetic
PCL-D5D3D6A7,PRJ-027,2254574.18,2111512.99,2111512.99,2024-06-08,paid,synthetic
PCL-1973472C,PRJ-027,1176279.02,1041931.41,520965.7,2024-12-22,partial,synthetic
PCL-2D500091,PRJ-027,3203352.83,3154029.43,3154029.43,2024-06-08,paid,synthetic
PCL-8E1E058E,PRJ-027,1963923.11,1710993.75,1710993.75,2024-05-23,paid,synthetic
PCL-CBD77EDA,PRJ-027,2282077.52,2130074.35,0.0,,pending,synthetic
PCL-F189EDB7,PRJ-027,4616068.49,4264307.75,4264307.75,2024-10-22,paid,synthetic
PCL-C91B8F23,PRJ-029,4914064.21,4913538.53,4913538.53,2024-05-14,paid,synthetic
PCL-25E765D6,PRJ-029,1343138.78,1272390.28,636195.14,2025-04-21,partial,synthetic
PCL-C08A1087,PRJ-029,1378553.5,1225750.99,612875.5,2024-10-04,partial,synthetic
PCL-EA3A53FD,PRJ-029,1523910.11,1347662.91,673831.46,2025-02-18,partial,synthetic
PCL-758B26A8,PRJ-029,1958306.57,1815648.54,0.0,,pending,synthetic
PCL-F2514CBD,PRJ-029,1137416.63,986878.71,0.0,,pending,synthetic
PCL-27DDAD79,PRJ-029,1069202.03,1038228.63,519114.32,2024-12-03,partial,synthetic
PCL-ED128B2B,PRJ-029,3580551.53,3045319.96,1522659.98,2024-08-11,partial,synthetic
PCL-62618417,PRJ-029,773793.12,770381.64,0.0,,pending,synthetic
PCL-CFDEF0CB,PRJ-029,4070690.16,3579615.34,1789807.67,2024-08-24,partial,synthetic
PCL-3C9785F7,PRJ-029,2611803.7,2475615.81,2475615.81,2024-03-13,paid,synthetic
PCL-C3D28ADB,PRJ-029,2159595.03,1849627.15,1849627.15,2024-05-05,paid,synthetic
PCL-BC78746F,PRJ-029,1028389.25,900702.87,0.0,,pending,synthetic
PCL-1FF27D24,PRJ-029,1849935.09,1574643.24,1574643.24,2024-09-13,paid,synthetic
PCL-B07FABEF,PRJ-029,3459742.51,2975636.89,0.0,,pending,synthetic
PCL-CF9DD3E4,PRJ-029,3267580.25,2821814.12,2821814.12,2025-03-02,paid,synthetic
PCL-1AB97763,PRJ-029,1978122.63,1951185.49,1951185.49,2024-09-17,paid,synthetic
PCL-F83D6F43,PRJ-029,1679824.71,1663309.9,0.0,,pending,synthetic
PCL-BB82C63D,PRJ-029,2157379.47,1919418.23,0.0,,pending,synthetic
PCL-F2EDB36C,PRJ-029,3844300.39,3456406.33,3456406.33,2025-03-31,paid,synthetic
PCL-6B577933,PRJ-029,1209714.53,1154782.75,1154782.75,2024-07-06,paid,synthetic
PCL-8A472D1C,PRJ-029,1014525.95,976751.53,976751.53,2024-03-22,paid,synthetic
PCL-87D76236,PRJ-029,4476470.43,3971321.28,1985660.64,2024-06-14,partial,synthetic
PCL-AF6A8DDF,PRJ-029,2562729.22,2558629.03,2558629.03,2024-12-03,paid,synthetic
PCL-8C292567,PRJ-029,1956914.66,1833031.37,1833031.37,2024-03-27,paid,synthetic
PCL-AE5ECD09,PRJ-029,1863395.88,1597633.39,1597633.39,2024-09-28,paid,synthetic
PCL-22141647,PRJ-029,1549466.28,1347617.49,1347617.49,2024-06-23,paid,synthetic
PCL-C5BD4E57,PRJ-029,2497849.99,2219372.59,0.0,,pending,synthetic
PCL-806B3334,PRJ-029,1841936.55,1680013.45,1680013.45,2024-10-06,paid,synthetic
PCL-C24478D9,PRJ-029,4077345.13,3958860.78,3958860.78,2024-11-22,paid,synthetic
PCL-1A387FC9,PRJ-029,588370.42,553727.99,0.0,,pending,synthetic
PCL-5F674BE6,PRJ-029,4364064.47,4299533.75,0.0,,pending,synthetic
PCL-8B117CCE,PRJ-029,3255988.71,2934723.06,2934723.06,2024-03-24,paid,synthetic
PCL-F58D563F,PRJ-029,3683981.51,3666180.88,3666180.88,2024-12-02,paid,synthetic
PCL-82FE7D15,PRJ-029,4591095.77,4081010.09,2040505.04,2024-12-29,partial,synthetic
PCL-CAADDFB3,PRJ-029,4343348.48,3992668.94,1996334.47,2025-04-01,partial,synthetic
